"date","home.team","away.team","home.score","away.score"
"16/08/2019","Ath Bilbao","Barcelona",1,0
"17/08/2019","Celta","Real Madrid",1,3
"17/08/2019","Valencia","Sociedad",1,1
"17/08/2019","Mallorca","Eibar",2,1
"17/08/2019","Leganes","Osasuna",0,1
"17/08/2019","Villarreal","Granada",4,4
"18/08/2019","Alaves","Levante",1,0
"18/08/2019","Espanol","Sevilla",0,2
"18/08/2019","Betis","Valladolid",1,2
"18/08/2019","Ath Madrid","Getafe",1,0
"23/08/2019","Granada","Sevilla",0,1
"23/08/2019","Levante","Villarreal",2,1
"24/08/2019","Osasuna","Eibar",0,0
"24/08/2019","Real Madrid","Valladolid",1,1
"24/08/2019","Celta","Valencia",1,0
"24/08/2019","Getafe","Ath Bilbao",1,1
"25/08/2019","Alaves","Espanol",0,0
"25/08/2019","Mallorca","Sociedad",0,1
"25/08/2019","Leganes","Ath Madrid",0,1
"25/08/2019","Barcelona","Betis",5,2
"30/08/2019","Sevilla","Celta",1,1
"30/08/2019","Ath Bilbao","Sociedad",2,0
"31/08/2019","Osasuna","Barcelona",2,2
"31/08/2019","Getafe","Alaves",1,1
"31/08/2019","Levante","Valladolid",2,0
"31/08/2019","Betis","Leganes",2,1
"01/09/2019","Valencia","Mallorca",2,0
"01/09/2019","Ath Madrid","Eibar",3,2
"01/09/2019","Espanol","Granada",0,3
"01/09/2019","Villarreal","Real Madrid",2,2
"13/09/2019","Mallorca","Ath Bilbao",0,0
"14/09/2019","Real Madrid","Levante",3,2
"14/09/2019","Leganes","Villarreal",0,3
"14/09/2019","Sociedad","Ath Madrid",2,0
"14/09/2019","Barcelona","Valencia",5,2
"15/09/2019","Eibar","Espanol",1,2
"15/09/2019","Alaves","Sevilla",0,1
"15/09/2019","Celta","Granada",0,2
"15/09/2019","Valladolid","Osasuna",1,1
"15/09/2019","Betis","Getafe",1,1
"20/09/2019","Osasuna","Betis",0,0
"21/09/2019","Villarreal","Valladolid",2,0
"21/09/2019","Levante","Eibar",0,0
"21/09/2019","Ath Madrid","Celta",0,0
"21/09/2019","Granada","Barcelona",2,0
"22/09/2019","Getafe","Mallorca",4,2
"22/09/2019","Espanol","Sociedad",1,3
"22/09/2019","Valencia","Leganes",1,1
"22/09/2019","Ath Bilbao","Alaves",2,0
"22/09/2019","Sevilla","Real Madrid",0,1
"24/09/2019","Valladolid","Granada",1,1
"24/09/2019","Betis","Levante",3,1
"24/09/2019","Barcelona","Villarreal",2,1
"25/09/2019","Leganes","Ath Bilbao",1,1
"25/09/2019","Mallorca","Ath Madrid",0,2
"25/09/2019","Valencia","Getafe",3,3
"25/09/2019","Real Madrid","Osasuna",2,0
"26/09/2019","Eibar","Sevilla",3,2
"26/09/2019","Celta","Espanol",1,1
"26/09/2019","Sociedad","Alaves",3,0
"27/09/2019","Villarreal","Betis",5,1
"28/09/2019","Ath Bilbao","Valencia",0,1
"28/09/2019","Getafe","Barcelona",0,2
"28/09/2019","Granada","Leganes",1,0
"28/09/2019","Ath Madrid","Real Madrid",0,0
"29/09/2019","Espanol","Valladolid",0,2
"29/09/2019","Eibar","Celta",2,0
"29/09/2019","Alaves","Mallorca",2,0
"29/09/2019","Levante","Osasuna",1,1
"29/09/2019","Sevilla","Sociedad",3,2
"04/10/2019","Betis","Eibar",1,1
"05/10/2019","Leganes","Levante",1,2
"05/10/2019","Real Madrid","Granada",4,2
"05/10/2019","Valencia","Alaves",2,1
"05/10/2019","Osasuna","Villarreal",2,1
"06/10/2019","Mallorca","Espanol",2,0
"06/10/2019","Celta","Ath Bilbao",1,0
"06/10/2019","Valladolid","Ath Madrid",0,0
"06/10/2019","Sociedad","Getafe",1,2
"06/10/2019","Barcelona","Sevilla",4,0
"18/10/2019","Granada","Osasuna",1,0
"19/10/2019","Eibar","Barcelona",0,3
"19/10/2019","Ath Madrid","Valencia",1,1
"19/10/2019","Getafe","Leganes",2,0
"19/10/2019","Mallorca","Real Madrid",1,0
"20/10/2019","Alaves","Celta",2,0
"20/10/2019","Sociedad","Betis",3,1
"20/10/2019","Espanol","Villarreal",0,1
"20/10/2019","Ath Bilbao","Valladolid",1,1
"20/10/2019","Sevilla","Levante",1,0
"25/10/2019","Villarreal","Alaves",4,1
"26/10/2019","Leganes","Mallorca",1,0
"26/10/2019","Valladolid","Eibar",2,0
"26/10/2019","Ath Madrid","Ath Bilbao",2,0
"27/10/2019","Celta","Sociedad",0,1
"27/10/2019","Granada","Betis",1,0
"27/10/2019","Levante","Espanol",0,1
"27/10/2019","Sevilla","Getafe",2,0
"27/10/2019","Osasuna","Valencia",3,1
"29/10/2019","Alaves","Ath Madrid",1,1
"29/10/2019","Barcelona","Valladolid",5,1
"30/10/2019","Sociedad","Levante",1,2
"30/10/2019","Valencia","Sevilla",1,1
"30/10/2019","Ath Bilbao","Espanol",3,0
"30/10/2019","Betis","Celta",2,1
"30/10/2019","Real Madrid","Leganes",5,0
"31/10/2019","Eibar","Villarreal",2,1
"31/10/2019","Mallorca","Osasuna",2,2
"31/10/2019","Getafe","Granada",3,1
"02/11/2019","Espanol","Valencia",1,2
"02/11/2019","Levante","Barcelona",3,1
"02/11/2019","Sevilla","Ath Madrid",1,1
"02/11/2019","Real Madrid","Betis",0,0
"03/11/2019","Valladolid","Mallorca",3,0
"03/11/2019","Villarreal","Ath Bilbao",0,0
"03/11/2019","Osasuna","Alaves",4,2
"03/11/2019","Celta","Getafe",0,1
"03/11/2019","Leganes","Eibar",1,2
"03/11/2019","Granada","Sociedad",1,2
"08/11/2019","Sociedad","Leganes",1,1
"09/11/2019","Alaves","Valladolid",3,0
"09/11/2019","Valencia","Granada",2,0
"09/11/2019","Eibar","Real Madrid",0,4
"09/11/2019","Barcelona","Celta",4,1
"10/11/2019","Mallorca","Villarreal",3,1
"10/11/2019","Ath Bilbao","Levante",2,1
"10/11/2019","Ath Madrid","Espanol",3,1
"10/11/2019","Getafe","Osasuna",0,0
"10/11/2019","Betis","Sevilla",1,2
"22/11/2019","Levante","Mallorca",2,1
"23/11/2019","Leganes","Barcelona",1,2
"23/11/2019","Betis","Valencia",2,1
"23/11/2019","Granada","Ath Madrid",1,1
"23/11/2019","Real Madrid","Sociedad",3,1
"24/11/2019","Espanol","Getafe",1,1
"24/11/2019","Osasuna","Ath Bilbao",1,2
"24/11/2019","Eibar","Alaves",0,2
"24/11/2019","Villarreal","Celta",1,3
"24/11/2019","Valladolid","Sevilla",0,1
"29/11/2019","Celta","Valladolid",0,0
"30/11/2019","Alaves","Real Madrid",1,2
"30/11/2019","Sociedad","Eibar",4,1
"30/11/2019","Mallorca","Betis",1,2
"30/11/2019","Valencia","Villarreal",2,1
"01/12/2019","Sevilla","Leganes",1,0
"01/12/2019","Ath Bilbao","Granada",2,0
"01/12/2019","Espanol","Osasuna",2,4
"01/12/2019","Getafe","Levante",4,0
"01/12/2019","Ath Madrid","Barcelona",0,1
"06/12/2019","Villarreal","Ath Madrid",0,0
"07/12/2019","Real Madrid","Espanol",2,0
"07/12/2019","Granada","Alaves",3,0
"07/12/2019","Levante","Valencia",2,4
"07/12/2019","Barcelona","Mallorca",5,2
"08/12/2019","Eibar","Getafe",0,1
"08/12/2019","Betis","Ath Bilbao",3,2
"08/12/2019","Valladolid","Sociedad",0,0
"08/12/2019","Leganes","Celta",3,2
"08/12/2019","Osasuna","Sevilla",1,1
"13/12/2019","Alaves","Leganes",1,1
"14/12/2019","Granada","Levante",1,2
"14/12/2019","Sociedad","Barcelona",2,2
"14/12/2019","Ath Bilbao","Eibar",0,0
"14/12/2019","Ath Madrid","Osasuna",2,0
"15/12/2019","Getafe","Valladolid",2,0
"15/12/2019","Celta","Mallorca",2,2
"15/12/2019","Espanol","Betis",2,2
"15/12/2019","Sevilla","Villarreal",1,2
"15/12/2019","Valencia","Real Madrid",1,1
"18/12/2019","Barcelona","Real Madrid",0,0
"20/12/2019","Eibar","Granada",3,0
"21/12/2019","Mallorca","Sevilla",0,2
"21/12/2019","Barcelona","Alaves",4,1
"21/12/2019","Villarreal","Getafe",1,0
"21/12/2019","Valladolid","Valencia",1,1
"22/12/2019","Leganes","Espanol",2,0
"22/12/2019","Osasuna","Sociedad",3,4
"22/12/2019","Betis","Ath Madrid",1,2
"22/12/2019","Levante","Celta",3,1
"22/12/2019","Real Madrid","Ath Bilbao",0,0
"03/01/2020","Valladolid","Leganes",2,2
"03/01/2020","Sevilla","Ath Bilbao",1,1
"04/01/2020","Valencia","Eibar",1,0
"04/01/2020","Getafe","Real Madrid",0,3
"04/01/2020","Ath Madrid","Levante",2,1
"04/01/2020","Espanol","Barcelona",2,2
"05/01/2020","Granada","Mallorca",1,0
"05/01/2020","Sociedad","Villarreal",1,2
"05/01/2020","Alaves","Betis",1,1
"05/01/2020","Celta","Osasuna",1,1
"17/01/2020","Leganes","Getafe",0,3
"18/01/2020","Levante","Alaves",0,1
"18/01/2020","Real Madrid","Sevilla",2,1
"18/01/2020","Osasuna","Valladolid",0,0
"18/01/2020","Eibar","Ath Madrid",2,0
"19/01/2020","Mallorca","Valencia",4,1
"19/01/2020","Betis","Sociedad",3,0
"19/01/2020","Villarreal","Espanol",1,2
"19/01/2020","Ath Bilbao","Celta",1,1
"19/01/2020","Barcelona","Granada",1,0
"24/01/2020","Osasuna","Levante",2,0
"25/01/2020","Espanol","Ath Bilbao",1,1
"25/01/2020","Valencia","Barcelona",2,0
"25/01/2020","Alaves","Villarreal",1,2
"25/01/2020","Sevilla","Granada",2,0
"26/01/2020","Ath Madrid","Leganes",0,0
"26/01/2020","Celta","Eibar",0,0
"26/01/2020","Getafe","Betis",1,0
"26/01/2020","Sociedad","Mallorca",3,0
"26/01/2020","Valladolid","Real Madrid",0,1
"01/02/2020","Granada","Espanol",2,1
"01/02/2020","Real Madrid","Ath Madrid",1,0
"01/02/2020","Mallorca","Valladolid",0,1
"01/02/2020","Valencia","Celta",1,0
"02/02/2020","Leganes","Sociedad",2,1
"02/02/2020","Eibar","Betis",1,1
"02/02/2020","Ath Bilbao","Getafe",0,2
"02/02/2020","Sevilla","Alaves",1,1
"02/02/2020","Villarreal","Osasuna",3,1
"02/02/2020","Barcelona","Levante",2,1
"07/02/2020","Alaves","Eibar",2,1
"08/02/2020","Levante","Leganes",2,0
"08/02/2020","Getafe","Valencia",3,0
"08/02/2020","Valladolid","Villarreal",1,1
"08/02/2020","Ath Madrid","Granada",1,0
"09/02/2020","Espanol","Mallorca",1,0
"09/02/2020","Sociedad","Ath Bilbao",2,1
"09/02/2020","Osasuna","Real Madrid",1,4
"09/02/2020","Celta","Sevilla",2,1
"09/02/2020","Betis","Barcelona",2,3
"14/02/2020","Valencia","Ath Madrid",2,2
"15/02/2020","Mallorca","Alaves",1,0
"15/02/2020","Barcelona","Getafe",2,1
"15/02/2020","Villarreal","Levante",2,1
"15/02/2020","Granada","Valladolid",2,1
"16/02/2020","Sevilla","Espanol",2,2
"16/02/2020","Leganes","Betis",0,0
"16/02/2020","Ath Bilbao","Osasuna",0,1
"16/02/2020","Real Madrid","Celta",2,2
"21/02/2020","Betis","Mallorca",3,3
"22/02/2020","Celta","Leganes",1,0
"22/02/2020","Barcelona","Eibar",5,0
"22/02/2020","Sociedad","Valencia",3,0
"22/02/2020","Levante","Real Madrid",1,0
"23/02/2020","Osasuna","Granada",0,3
"23/02/2020","Alaves","Ath Bilbao",2,1
"23/02/2020","Valladolid","Espanol",2,1
"23/02/2020","Getafe","Sevilla",0,3
"23/02/2020","Ath Madrid","Villarreal",3,1
"28/02/2020","Sociedad","Valladolid",1,0
"29/02/2020","Eibar","Levante",3,0
"29/02/2020","Valencia","Betis",2,1
"29/02/2020","Leganes","Alaves",1,1
"29/02/2020","Granada","Celta",0,0
"01/03/2020","Sevilla","Osasuna",3,2
"01/03/2020","Ath Bilbao","Villarreal",1,0
"01/03/2020","Espanol","Ath Madrid",1,1
"01/03/2020","Mallorca","Getafe",0,1
"01/03/2020","Real Madrid","Barcelona",2,0
"06/03/2020","Alaves","Valencia",1,1
"07/03/2020","Eibar","Mallorca",1,2
"07/03/2020","Ath Madrid","Sevilla",2,2
"07/03/2020","Barcelona","Sociedad",1,0
"07/03/2020","Getafe","Celta",0,0
"08/03/2020","Osasuna","Espanol",1,0
"08/03/2020","Valladolid","Ath Bilbao",1,4
"08/03/2020","Levante","Granada",1,1
"08/03/2020","Villarreal","Leganes",1,2
"08/03/2020","Betis","Real Madrid",2,1
"10/03/2020","Eibar","Sociedad",1,2
"11/06/2020","Sevilla","Betis",2,0
"12/06/2020","Granada","Getafe",2,1
"12/06/2020","Valencia","Levante",1,1
"13/06/2020","Espanol","Alaves",2,0
"13/06/2020","Celta","Villarreal",0,1
"13/06/2020","Leganes","Valladolid",1,2
"13/06/2020","Mallorca","Barcelona",0,4
"14/06/2020","Ath Bilbao","Ath Madrid",1,1
"14/06/2020","Real Madrid","Eibar",3,1
"14/06/2020","Sociedad","Osasuna",1,1
"15/06/2020","Levante","Sevilla",1,1
"15/06/2020","Betis","Granada",2,2
"16/06/2020","Getafe","Espanol",0,0
"16/06/2020","Villarreal","Mallorca",1,0
"16/06/2020","Barcelona","Leganes",2,0
"17/06/2020","Eibar","Ath Bilbao",2,2
"17/06/2020","Valladolid","Celta",0,0
"17/06/2020","Osasuna","Ath Madrid",0,5
"18/06/2020","Alaves","Sociedad",2,0
"18/06/2020","Real Madrid","Valencia",3,0
"19/06/2020","Granada","Villarreal",0,1
"19/06/2020","Mallorca","Leganes",1,1
"19/06/2020","Sevilla","Barcelona",0,0
"20/06/2020","Espanol","Levante",1,3
"20/06/2020","Ath Bilbao","Betis",1,0
"20/06/2020","Getafe","Eibar",1,1
"20/06/2020","Ath Madrid","Valladolid",1,0
"21/06/2020","Celta","Alaves",6,0
"21/06/2020","Valencia","Osasuna",2,0
"21/06/2020","Sociedad","Real Madrid",1,2
"22/06/2020","Villarreal","Sevilla",2,2
"22/06/2020","Leganes","Granada",0,0
"23/06/2020","Levante","Ath Madrid",0,1
"23/06/2020","Valladolid","Getafe",1,1
"23/06/2020","Barcelona","Ath Bilbao",1,0
"24/06/2020","Alaves","Osasuna",0,1
"24/06/2020","Sociedad","Celta",0,1
"24/06/2020","Real Madrid","Mallorca",2,0
"25/06/2020","Eibar","Valencia",1,0
"25/06/2020","Betis","Espanol",1,0
"26/06/2020","Sevilla","Valladolid",1,1
"27/06/2020","Ath Bilbao","Mallorca",3,1
"27/06/2020","Celta","Barcelona",2,2
"27/06/2020","Osasuna","Leganes",2,1
"27/06/2020","Ath Madrid","Alaves",2,1
"28/06/2020","Levante","Betis",4,2
"28/06/2020","Villarreal","Valencia",2,0
"28/06/2020","Granada","Eibar",1,2
"28/06/2020","Espanol","Real Madrid",0,1
"29/06/2020","Getafe","Sociedad",2,1
"30/06/2020","Mallorca","Celta",5,1
"30/06/2020","Leganes","Sevilla",0,3
"30/06/2020","Barcelona","Ath Madrid",2,2
"01/07/2020","Alaves","Granada",0,2
"01/07/2020","Valencia","Ath Bilbao",0,2
"01/07/2020","Betis","Villarreal",0,2
"01/07/2020","Valladolid","Levante",0,0
"02/07/2020","Eibar","Osasuna",0,2
"02/07/2020","Sociedad","Espanol",2,1
"02/07/2020","Real Madrid","Getafe",1,0
"03/07/2020","Ath Madrid","Mallorca",3,0
"04/07/2020","Celta","Betis",1,1
"04/07/2020","Valladolid","Alaves",1,0
"04/07/2020","Granada","Valencia",2,2
"05/07/2020","Ath Bilbao","Real Madrid",0,1
"05/07/2020","Espanol","Leganes",0,1
"05/07/2020","Osasuna","Getafe",0,0
"05/07/2020","Villarreal","Barcelona",1,4
"06/07/2020","Levante","Sociedad",1,1
"06/07/2020","Sevilla","Eibar",1,0
"07/07/2020","Valencia","Valladolid",2,1
"07/07/2020","Celta","Ath Madrid",1,1
"08/07/2020","Betis","Osasuna",3,0
"08/07/2020","Getafe","Villarreal",1,3
"08/07/2020","Barcelona","Espanol",1,0
"09/07/2020","Eibar","Leganes",0,0
"09/07/2020","Mallorca","Levante",2,0
"09/07/2020","Ath Bilbao","Sevilla",1,2
"10/07/2020","Sociedad","Granada",2,3
"10/07/2020","Real Madrid","Alaves",2,0
"11/07/2020","Osasuna","Celta",2,1
"11/07/2020","Valladolid","Barcelona",0,1
"11/07/2020","Ath Madrid","Betis",1,0
"12/07/2020","Espanol","Eibar",0,2
"12/07/2020","Levante","Ath Bilbao",1,2
"12/07/2020","Leganes","Valencia",1,0
"12/07/2020","Sevilla","Mallorca",2,0
"13/07/2020","Alaves","Getafe",0,0
"13/07/2020","Villarreal","Sociedad",1,2
"13/07/2020","Granada","Real Madrid",1,2
"16/07/2020","Eibar","Valladolid",3,1
"16/07/2020","Ath Bilbao","Leganes",0,2
"16/07/2020","Barcelona","Osasuna",1,2
"16/07/2020","Betis","Alaves",1,2
"16/07/2020","Celta","Levante",2,3
"16/07/2020","Getafe","Ath Madrid",0,2
"16/07/2020","Mallorca","Granada",1,2
"16/07/2020","Real Madrid","Villarreal",2,1
"16/07/2020","Sociedad","Sevilla",0,0
"16/07/2020","Valencia","Espanol",1,0
"19/07/2020","Alaves","Barcelona",0,5
"19/07/2020","Valladolid","Betis",2,0
"19/07/2020","Villarreal","Eibar",4,0
"19/07/2020","Ath Madrid","Sociedad",1,1
"19/07/2020","Espanol","Celta",0,0
"19/07/2020","Granada","Ath Bilbao",4,0
"19/07/2020","Leganes","Real Madrid",2,2
"19/07/2020","Levante","Getafe",1,0
"19/07/2020","Osasuna","Mallorca",2,2
"19/07/2020","Sevilla","Valencia",1,0
"17/08/2018","Betis","Levante",0,3
"17/08/2018","Girona","Valladolid",0,0
"18/08/2018","Barcelona","Alaves",3,0
"18/08/2018","Celta","Espanol",1,1
"18/08/2018","Villarreal","Sociedad",1,2
"19/08/2018","Eibar","Huesca",1,2
"19/08/2018","Real Madrid","Getafe",2,0
"19/08/2018","Vallecano","Sevilla",1,4
"20/08/2018","Ath Bilbao","Leganes",2,1
"20/08/2018","Valencia","Ath Madrid",1,1
"24/08/2018","Getafe","Eibar",2,0
"24/08/2018","Leganes","Sociedad",2,2
"25/08/2018","Alaves","Betis",0,0
"25/08/2018","Ath Madrid","Vallecano",1,0
"25/08/2018","Valladolid","Barcelona",0,1
"26/08/2018","Espanol","Valencia",2,0
"26/08/2018","Girona","Real Madrid",1,4
"26/08/2018","Sevilla","Villarreal",0,0
"27/08/2018","Ath Bilbao","Huesca",2,2
"27/08/2018","Levante","Celta",1,2
"31/08/2018","Eibar","Sociedad",2,1
"31/08/2018","Getafe","Valladolid",0,0
"31/08/2018","Villarreal","Girona",0,1
"01/09/2018","Celta","Ath Madrid",2,0
"01/09/2018","Real Madrid","Leganes",4,1
"02/09/2018","Alaves","Espanol",2,1
"02/09/2018","Barcelona","Huesca",8,2
"02/09/2018","Betis","Sevilla",1,0
"02/09/2018","Levante","Valencia",2,2
"14/09/2018","Huesca","Vallecano",0,1
"15/09/2018","Ath Bilbao","Real Madrid",1,1
"15/09/2018","Ath Madrid","Eibar",1,1
"15/09/2018","Sociedad","Barcelona",1,2
"15/09/2018","Valencia","Betis",0,0
"16/09/2018","Espanol","Levante",1,0
"16/09/2018","Leganes","Villarreal",0,1
"16/09/2018","Sevilla","Getafe",0,2
"16/09/2018","Valladolid","Alaves",0,1
"17/09/2018","Girona","Celta",3,2
"21/09/2018","Huesca","Sociedad",0,1
"22/09/2018","Celta","Valladolid",3,3
"22/09/2018","Eibar","Leganes",1,0
"22/09/2018","Getafe","Ath Madrid",0,2
"22/09/2018","Real Madrid","Espanol",1,0
"22/09/2018","Vallecano","Alaves",1,5
"23/09/2018","Barcelona","Girona",2,2
"23/09/2018","Betis","Ath Bilbao",2,2
"23/09/2018","Levante","Sevilla",2,6
"23/09/2018","Villarreal","Valencia",0,0
"25/09/2018","Ath Madrid","Huesca",3,0
"25/09/2018","Espanol","Eibar",1,0
"25/09/2018","Sociedad","Vallecano",2,2
"26/09/2018","Ath Bilbao","Villarreal",0,3
"26/09/2018","Leganes","Barcelona",2,1
"26/09/2018","Sevilla","Real Madrid",3,0
"26/09/2018","Valencia","Celta",1,1
"27/09/2018","Alaves","Getafe",1,1
"27/09/2018","Girona","Betis",0,1
"27/09/2018","Valladolid","Levante",2,1
"28/09/2018","Vallecano","Espanol",2,2
"29/09/2018","Barcelona","Ath Bilbao",1,1
"29/09/2018","Eibar","Sevilla",1,3
"29/09/2018","Real Madrid","Ath Madrid",0,0
"29/09/2018","Sociedad","Valencia",0,1
"30/09/2018","Betis","Leganes",1,0
"30/09/2018","Huesca","Girona",1,1
"30/09/2018","Levante","Alaves",2,1
"30/09/2018","Villarreal","Valladolid",0,1
"01/10/2018","Celta","Getafe",1,1
"05/10/2018","Ath Bilbao","Sociedad",1,3
"06/10/2018","Alaves","Real Madrid",1,0
"06/10/2018","Getafe","Levante",0,1
"06/10/2018","Girona","Eibar",2,3
"06/10/2018","Leganes","Vallecano",1,0
"07/10/2018","Ath Madrid","Betis",1,0
"07/10/2018","Espanol","Villarreal",3,1
"07/10/2018","Sevilla","Celta",2,1
"07/10/2018","Valencia","Barcelona",1,1
"07/10/2018","Valladolid","Huesca",1,0
"19/10/2018","Celta","Alaves",0,1
"20/10/2018","Barcelona","Sevilla",4,2
"20/10/2018","Real Madrid","Levante",1,2
"20/10/2018","Valencia","Leganes",1,1
"20/10/2018","Villarreal","Ath Madrid",1,1
"21/10/2018","Betis","Valladolid",0,1
"21/10/2018","Eibar","Ath Bilbao",1,1
"21/10/2018","Huesca","Espanol",0,2
"21/10/2018","Vallecano","Getafe",1,2
"22/10/2018","Sociedad","Girona",0,0
"24/10/2018","Vallecano","Ath Bilbao",1,1
"26/10/2018","Valladolid","Espanol",1,1
"27/10/2018","Ath Bilbao","Valencia",0,0
"27/10/2018","Ath Madrid","Sociedad",2,0
"27/10/2018","Celta","Eibar",4,0
"27/10/2018","Girona","Vallecano",2,1
"27/10/2018","Levante","Leganes",2,0
"28/10/2018","Alaves","Villarreal",2,1
"28/10/2018","Barcelona","Real Madrid",5,1
"28/10/2018","Getafe","Betis",2,0
"28/10/2018","Sevilla","Huesca",2,1
"03/11/2018","Leganes","Ath Madrid",1,1
"03/11/2018","Real Madrid","Valladolid",2,0
"03/11/2018","Valencia","Girona",0,1
"03/11/2018","Vallecano","Barcelona",2,3
"04/11/2018","Betis","Celta",3,3
"04/11/2018","Eibar","Alaves",2,1
"04/11/2018","Huesca","Getafe",1,1
"04/11/2018","Sociedad","Sevilla",0,0
"04/11/2018","Villarreal","Levante",1,1
"05/11/2018","Espanol","Ath Bilbao",1,0
"09/11/2018","Levante","Sociedad",1,3
"10/11/2018","Ath Madrid","Ath Bilbao",3,2
"10/11/2018","Getafe","Valencia",0,1
"10/11/2018","Girona","Leganes",0,0
"10/11/2018","Valladolid","Eibar",0,0
"11/11/2018","Alaves","Huesca",2,1
"11/11/2018","Barcelona","Betis",3,4
"11/11/2018","Celta","Real Madrid",2,4
"11/11/2018","Sevilla","Espanol",2,1
"11/11/2018","Vallecano","Villarreal",2,2
"23/11/2018","Leganes","Alaves",1,0
"24/11/2018","Ath Madrid","Barcelona",1,1
"24/11/2018","Eibar","Real Madrid",3,0
"24/11/2018","Huesca","Levante",2,2
"24/11/2018","Valencia","Vallecano",3,0
"25/11/2018","Ath Bilbao","Getafe",1,1
"25/11/2018","Espanol","Girona",1,3
"25/11/2018","Sevilla","Valladolid",1,0
"25/11/2018","Villarreal","Betis",2,1
"26/11/2018","Sociedad","Celta",2,1
"30/11/2018","Vallecano","Eibar",1,0
"01/12/2018","Celta","Huesca",2,0
"01/12/2018","Getafe","Espanol",3,0
"01/12/2018","Real Madrid","Valencia",2,0
"01/12/2018","Valladolid","Leganes",2,4
"02/12/2018","Alaves","Sevilla",1,1
"02/12/2018","Barcelona","Villarreal",2,0
"02/12/2018","Betis","Sociedad",1,0
"02/12/2018","Girona","Ath Madrid",1,1
"03/12/2018","Levante","Ath Bilbao",3,0
"07/12/2018","Leganes","Getafe",1,1
"08/12/2018","Ath Madrid","Alaves",3,0
"08/12/2018","Espanol","Barcelona",0,4
"08/12/2018","Valencia","Sevilla",1,1
"08/12/2018","Villarreal","Celta",2,3
"09/12/2018","Betis","Vallecano",2,0
"09/12/2018","Eibar","Levante",4,4
"09/12/2018","Huesca","Real Madrid",0,1
"09/12/2018","Sociedad","Valladolid",1,2
"10/12/2018","Ath Bilbao","Girona",1,0
"14/12/2018","Celta","Leganes",0,0
"15/12/2018","Eibar","Valencia",1,1
"15/12/2018","Getafe","Sociedad",1,0
"15/12/2018","Real Madrid","Vallecano",1,0
"15/12/2018","Valladolid","Ath Madrid",2,3
"16/12/2018","Espanol","Betis",1,3
"16/12/2018","Huesca","Villarreal",2,2
"16/12/2018","Levante","Barcelona",0,5
"16/12/2018","Sevilla","Girona",2,0
"17/12/2018","Alaves","Ath Bilbao",0,0
"21/12/2018","Girona","Getafe",1,1
"21/12/2018","Sociedad","Alaves",0,1
"22/12/2018","Ath Bilbao","Valladolid",1,1
"22/12/2018","Ath Madrid","Espanol",1,0
"22/12/2018","Barcelona","Celta",2,0
"22/12/2018","Betis","Eibar",1,1
"23/12/2018","Leganes","Sevilla",1,1
"23/12/2018","Valencia","Huesca",2,1
"23/12/2018","Vallecano","Levante",2,1
"03/01/2019","Villarreal","Real Madrid",2,2
"04/01/2019","Espanol","Leganes",1,0
"04/01/2019","Levante","Girona",2,2
"05/01/2019","Alaves","Valencia",2,1
"05/01/2019","Huesca","Betis",2,1
"05/01/2019","Valladolid","Vallecano",0,1
"06/01/2019","Eibar","Villarreal",0,0
"06/01/2019","Getafe","Barcelona",1,2
"06/01/2019","Real Madrid","Sociedad",0,2
